Participant,Left Top SEARCHINGCAL,error1,Right Top SEARCHINGCAL,error2,Center SEARCHINGCAL,error3,Left Bottom SEARCHINGCAL,error4,Right Bottom SEARCHINGCAL,error5,Left Top POSTSTUDYCAL,error1_pst,Right Top POSTSTUDYCAL,error2_pst,Center POSTSTUDYCAL,error3_pst,left_bottom_post,error4_pst,Right Bottom POSTSTUDYCAL,error5_pst
1,20785-20790,5.2385,21003-21008,3.3536,20062-20067,3.6219,21429-21435,2.0857,21725-21730,3.6292,42943-42948,0.3872,42682-42687,1.9587,42073-42078,4.6213,42337-42342,0.3986,42610-42615,1.7721
3,18796-18801,1.7799,19067-19072,6.5619,18555-18560,2.411,19647-19652,1.9366,20134-20139,5.6738,38755-38760,1.5139,38432-38437,6.7884,38248-38253,3.899,38828-38833,1.2705,39103-39108,1.9775
5,21965-21970,1.9668,22284-22289,1.5346,21795-21800,1.4201,22765-22770,1.202,23080-23085,1.2585,30366-30371,1.9848,30657-30662,1.2821,30920-30925,1.6139,31253-31258,1.921,31595-31600,1.3356
6,23181-23186,2.2146,23272-23277,3.0688,22865-22870,2.0711,24715-24720,2.0839,,,43493-43498,2.872,43961-43966,4.1075,43054-43059,4.6508,44345-44350,4.0487,44037-44042,6.9569
7,17096-17101,2.1078,17611-17616,3.0525,17792-17797,1.7219,18552-18557,0.731,18364-18369,3.649,48789-48794,1.7625,49020-49025,5.8215,49299-49304,6.9562,49543-49548,4.391,49750-49755,7.9247
8,17870-17875,1.6108,18367-18372,3.4322,18613-18618,3.0215,18986-18991,1.062,19372-19377,2.0731,34306-34311,2.567,34631-34636,1.2119,34888-34893,2.203,35168-35173,2.5178,35490-35495,2.1653
9,15485-15490,3.4468,16064-16069,1.736,16424-16429,1.7887,17574-17579,4.7997,17215-17220,3.993,32564-32569,1.868,33041-33046,2.9388,33229-33234,3.7444,33530-33535,3.1081,33740-33745,1.8434
10,18142-18147,1.4827,18599-18604,2.2586,18851-18856,1.265,19437-19442,1.8741,19667-19672,1.3095,33961-33966,1.9398,34550-34555,3.1016,34733-34738,2.1412,35136-35141,2.9997,35399-35404,3.6031
11,18051-18056,1.1719,18514-18519,2.4546,18885-18889,4.4915,19108-19113,0.4925,19424-19429,4.0328,37718-37723,4.0601,38044-38049,5.3217,38268-38273,4.0045,39140-39145,2.4529,,
12,19099-19104,2.0753,19542-19547,1.1882,20022-20027,1.7617,021596-021601,1.5731,21285-21290,2.9864,41023-41028,2.6992,41461-41466,1.8329,41787-41792,1.6699,42280-42285,1.2557,42732-42737,4.6267
13,16942-16947,0.9597,17392-17397,0.9327,17721-17726,1.4143,18929-18934,1.3075,19360-19365,0.3147,38251-38256,1.345,38719-38724,3.082,39029-39034,0.5806,39393-39398,1.3516,,
16,46491-46496,0.4869,46966-46971,1.6339,47285-47290,1.3262,47668-47673,1.2128,48278-48283,1.0618,57695-57700,1.3848,58229-58234,3.2839,58668-58673,1.0915,59043-59048,0.7763,59552-59557,5.2721
17,15633-15638,1.5966,16105-16110,0.8827,16583-16588,2.072,17026-17031,2.9513,17450-17455,1.4527,39431-39436,1.0954,40072-40077,2.4226,40400-40405,3.0796,40759-40764,1.8313,41228-41233,1.9256
18,16903-16908,0.8826,17364-17369,2.6562,17764-17769,0.5445,18103-18108,1.9574,18496-18501,1.0044,41484-41489,3.6921,42017-42022,2.3761,42402-42407,3.7957,42706-42711,2.2996,43174-43179,3.6866
