Participant,Left Top SEARCHINGCAL,error1,Right Top SEARCHINGCAL,error2,Center SEARCHINGCAL,error3,Left Bottom SEARCHINGCAL,error4,Right Bottom SEARCHINGCAL,error5,Left Top POSTSTUDYCAL,error1_pst,Right Top POSTSTUDYCAL,error2_pst,Center POSTSTUDYCAL,error3_pst,left_bottom_pst,error4_pst,Right Bottom POSTSTUDYCAL,error5_pst
103,25952-25957,4.115,25497-25502,0.4506,25026-25031,3.0923,26128-26133,1.9288,26743-26748,0.6831,43425-43430,2.4494,43916-43921,0.3414,44145-44150,5.6094,44610-44615,1.9385,45067-45072,0.8548
104,23788-23793,0.8437,24123-24128,3.8674,24470-24475,2.4118,25023-25028,1.2529,25478-25483,1.5962,42174-42179,2.4716,42607-42612,4.2281,42844-42849,2.4672,43185-43190,1.7657,43634-43639,1.785
200,23116-23121,1.0024,23340-23345,2.7925,22657-22662,3.0267,24205-24210,1.564,24420-24425,2.5447,45375-45380,1.5894,45570-45575,1.1581,45098-45103,2.3539,46259-46264,3.2233,46440-46445,1.4854
201,28512-28517,5.4149,28970-28975,2.2017,29410-29415,0.9637,30010-30015,3.0962,30540-30545,5.7294,51545-51550,5.5835,51960-51965,3.0249,52255-52260,2.7725,52800-52805,3.3175,53244-53249,2.9126
202,27755-27760,4.3582,28150-28155,4.1613,27365-27370,2.226,29080-29085,0.8776,29545-29550,3.3264,47075-47080,4.1188,47565-47570,1.9463,47861-47866,1.2572,48245-48250,1.6411,48616-48621,1.1629
204,26145-26150,1.4781,26380-26385,2.5835,26845-26850,3.4457,27115-27120,1.9542,27510-27515,0.7247,50220-50225,1.8647,50400-50405,2.6639,49720-49725,2.5018,51100-51105,1.0423,51410-51415,2.0549
205,24142-24147,3.3155,24348-24353,4.7451,23675-23680,3.8941,25175-25180,4.1601,25575-25580,4.7562,46707-46712,3.78,46906-46911,1.3423,46345-46350,5.4859,47655-47660,3.7031,47995-48000,3.461
206,29045-29050,5.8506,29352-29357,3.8096,29710-29715,3.7877,29950-29955,2.7257,30271-30276,1.4639,59220-59225,2.9049,59605-59610,4.3689,58815-58820,5.1961,60321-60326,3.3624,60692-60697,1.4449
208,21667-21672,2.7701,22122-22127,2.7701,21289-21294,3.1042,22700-22705,1.3772,23095-23100,5.0768,45790-45795,4.4219,46175-46180,5.875,45275-45280,4.779,46731-467316,2.0618,47255-47260,2.3612
209,29354-29359,2.8461,29696-29701,4.3407,28955-28960,3.5836,30280-30285,3.6262,30635-30640,3.4934,56406-56411,2.0306,56671-56676,5.4368,55990-55995,5.2963,57200-57205,2.5414,57595-57600,4.3006
210,21385-21390,5.6848,21710-21715,4.0485,20640-20645,5.0229,22260-22265,4.7836,22575-22580,3.1636,44137-44142,5.5938,44412-44417,4.0667,44796-44801,6.7863,45150-45155,1.3833,45460-45465,1.5106
211,23060-23065,4.2924,23336-23341,3.7729,22660-22665,5.1038,23380-23385,4.0342,24440-24445,3.3044,45921-45926,4.1613,46185-46190,5.0862,46491-46496,3.7194,46845-46850,4.676,47180-47185,1.6963
213,20375-20380,2.3622,20825-20830,0.7474,21180-21185,1.0905,21480-21485,2.0746,21990-21995,1.1776,40690-40695,1.8562,41186-41191,2.6845,40300-40305,4.0976,41990-41995,0.1232,42350-42355,0.733
214,21717-21722,4.1128,22060-22065,4.7383,21210-21215,4.2932,22775-22780,5.7809,23145-23150,2.7395,40175-40180,3.3878,40380-40385,2.524,40628-40633,0.8489,40870-40875,3.3857,41245-41250,3.7858
216,22272-22277,3.433,22602-22607,3.0551,21785-21790,3.6127,23420-23425,4.6251,22608-22613,3.1243,40936-40941,1.8282,41225-41230,3.229,41622-41627,3.3894,42010-42015,3.7641,42417-42422,5.0552
217,20864-20869,2.919,21131-21136,4.0805,20450-20455,2.1606,21735-21740,2.3736,22040-22045,2.129,38845-38850,2.313,39250-39255,4.5986,39510-39515,4.1804,39885-39890,1.8607,40270-40275,3.6376
218,20425-20430,3.1998,20825-20830,4.0351,21095-21100,2.842,21395-21400,1.3781,21747-21752,4.9406,36380-36385,5.094,36680-36685,3.3429,36900-36905,6.2537,37139-37144,1.5773,37575-37580,2.9091
219,19755-19760,3.4707,20090-20095,2.6459,19405-19410,1.068,20615-20620,3.884,20965-20970,5.886,36880-36885,2.1822,37202-37207,4.643,37430-37435,2.4686,37730-37735,2.1383,38053-38058,3.4298
220,18965-18970,5.6958,19365-19370,4.2357,18690-18695,0.6007,19885-19890,2.0561,20139-20144,2.7266,36497-36502,3.0317,36815-36820,4.2125,37095-37100,0.8528,37295-37300,3.4877,37591-37596,4.8169
221,24655-24660,4.3408,24990-24995,4.3216,25185-25190,1.5297,25475-25480,2.2831,25701-25706,4.2581,53894-53899,4.4095,54230-54235,6.9637,54415-54420,1.8886,54704-54709,3.1697,54975-54980,4.1054
222,27130-27135,3.2432,27483-27488,4.4863,26425-26430,3.2827,28093-28098,1.0009,28393-28398,4.9762,55333-55338,5.5119,55660-55665,5.7053,55060-55065,2.716,56108-56113,1.66,56395-56400,2.9576
224,19529-19534,4.0126,19720-19725,3.3257,19170-19175,3.7132,20316-20321,1.7735,20569-20574,5.7786,40570-40575,1.9049,40742-40747,3.8515,40347-40352,3.3575,41242-41247,1.818,41411-41416,3.6362
225,23332-23337,3.986,23704-23709,3.8608,22857-22862,6.1985,24385-24390,2.0229,24740-24745,4.7124,47883-47888,3.6632,48115-48120,6.1456,47495-47500,7.8021,48925-48930,4.321,49218-49223,2.572
226,24349-24354,3.8883,24640-24645,1.3584,23968-23973,3.9673,25435-25440,3.1028,25748-25753,2.094,44580-44585,3.97,44904-44909,2.5698,44240-44245,5.7527,45446-45451,1.668,45807-45811,1.3903
227,19313-19318,5.8922,19750-19755,4.2599,18766-18771,4.2975,20573-20578,5.2044,20808-20813,2.98,47354-47359,4.6788,47733-47738,5.3766,48050-48055,2.8351,48195-48200,8.4869,48655-48660,1.6973
229,18915-18920,5.3294,19320-19325,5.209,18581-18586,6.4794,19770-19775,1.7613,20133-20138,1.8248,38461-38466,4.1429,38858-38863,2.7269,39166-39171,3.9522,39400-39405,1.16,39890-39895,3.7655
230,18785-18790,2.9369,18960-18965,0.8976,19340-19345,3.2009,19600-19605,1.0421,20025-20030,1.8461,,,,,,,,,,
