id,task,win,startf,posx_mean,posx_std,posy_mean,posy_std,eyex_mean,eyex_std,eyey_mean,eyey_std,eyexpos_corr,eyeypos_corr,path_total,path_speed,path_speed_sd,straightness,
103,1,1,15966,11.9285,9.801,2.0484,3.8521,57.6128,15.5987,21.0971,4.7171,0.41136,0.2004,7.8625,0.78625,0.17655,1.0112,
103,1,2,16116,14.9023,8.3667,-1.2329,4.5453,53.037,15.7603,21.3138,4.4435,0.59307,0.25954,9.9721,0.99721,0.1151,1.036,
103,1,3,16266,11.794,2.2094,-2.766,2.7966,46.2447,13.4479,24.3614,11.8865,0.36751,0.027872,11.7091,1.1709,0.085028,1.0035,
103,1,4,16416,10.7648,2.1623,-0.24626,4.321,47.9076,13.2952,26.2803,12.7605,0.1359,0.2308,12.1345,1.2135,0.054153,1.0009,
103,1,5,16566,9.4202,2.1588,3.3116,6.5063,51.2566,10.8934,22.7146,9.2032,0.33395,0.54337,11.4347,1.1435,0.086231,1.0009,
103,1,6,16716,8.0429,2.5586,3.6534,5.5563,49.1427,11.4462,22.6726,8.125,0.4343,0.37634,11.4285,1.1429,0.13737,1.0023,
103,1,7,16866,5.5687,3.6675,4.2092,5.1151,46.5658,12.985,25.9382,6.7626,0.71628,-0.037761,11.4594,1.1459,0.15184,1.0171,
103,1,8,17016,3.4839,9.7917,5.8803,4.5505,41.9719,14.5155,27.4118,8.0947,0.57193,-0.16214,10.8612,1.0861,0.1489,1.3586,
103,1,9,17166,5.319,9.8807,4.8055,2.6166,40.7044,13.4377,25.0243,7.6035,0.56672,-0.29019,11.8504,1.185,0.16672,1.0131,
103,1,10,17316,7.8092,2.7369,6.0127,2.4479,45.6368,9.184,23.4577,6.3912,0.4344,-0.076923,12.8781,1.2878,0.1123,1.004,
103,1,11,17466,8.6694,2.4838,5.5375,2.6935,46.8431,8.1929,25.2325,10.5175,0.30315,0.14515,13.2922,1.3292,0.14517,1.002,
103,1,12,17616,9.7837,2.1392,4.892,2.931,44.2342,10.5405,28.8611,11.1435,0.52114,0.15128,12.6119,1.2612,0.1615,1.0006,
103,1,13,17766,9.9117,2.2426,7.0488,3.1161,46.475,12.0774,30.1087,10.0938,0.32483,-0.23641,12.9908,1.2991,0.18742,1.0023,
103,1,14,17916,9.8003,2.7515,6.4962,2.7797,51.7065,13.8295,26.0566,9.1526,0.42027,-0.14998,13.8433,1.3843,0.11438,1.0029,
103,1,15,18066,10.274,3.7754,7.1763,3.6749,54.0187,15.5973,25.7816,8.8167,0.67904,-0.29823,13.2302,1.323,0.064391,1.0016,
103,1,16,18216,10.9611,3.9572,7.5659,3.759,54.7022,13.5018,27.0661,10.2424,0.53614,-0.48939,13.2253,1.3225,0.036308,1.0012,
103,1,17,18366,10.7381,3.2227,5.0698,3.5621,52.0422,10.6656,24.2894,8.7505,0.064051,-0.5074,12.6405,1.2641,0.052952,1.0009,
103,1,18,18516,9.7261,3.3339,3.5597,3.7951,51.3114,13.2185,23.6455,6.6916,0.44531,-0.29087,11.821,1.1821,0.063113,1.0007,
103,1,19,18666,8.0187,3.4249,1.5576,2.5346,48.2321,12.0275,22.7476,3.4254,0.6902,0.078144,12.1873,1.2187,0.10146,1.0005,
103,1,20,18816,7.2596,2.5744,0.71638,2.3348,47.8219,11.4902,23.0434,5.0151,0.54795,-0.085996,12.7744,1.2774,0.073765,1.0016,
103,1,21,18966,7.8504,3.7596,3.7865,7.9299,51.7386,13.5632,28.043,15.4068,0.45752,0.53012,11.8958,1.1896,0.11596,1.002,
103,1,22,19116,12.2371,8.7233,5.2028,7.6273,57.4902,16.8997,29.8606,16.4272,0.57934,0.26429,11.1701,1.117,0.095827,1.0013,
103,1,23,19266,12.6748,7.993,3.4573,3.0229,58.8531,15.2308,27.4469,7.8724,0.50511,0.16727,10.8012,1.0801,0.0832,1.0062,
103,1,24,19416,9.8184,4.9288,3.1615,3.5076,50.1897,19.3995,32.5223,11.18,0.59678,0.20817,10.2617,1.0262,0.088248,1.012,
